collection_timestamp,source,origin,destination,travel_date,airline,flight_number,fare_class,advance_days,base_fare,taxes,fees,total_fare,currency,availability
2026-07-05 02:17:00,goibibo,BLR,HYD,2026-08-19 02:17:00,Air India Express,IX9195,Economy,45,3222.32,637.53,163.04,4022.89,INR,available
2026-09-01 05:05:00,easemytrip,CCU,DEL,2026-09-16 05:05:00,IndiGo,6E3797,Economy,15,6361.06,976.59,441.58,7779.23,INR,available
2026-07-16 05:29:00,easemytrip,MAA,DEL,2026-07-17 05:29:00,Akasa Air,QP1421,Economy Flex,1,12340.16,2517.5,169.4,15027.06,INR,available
2026-07-28 08:27:00,air_india,MAA,DEL,2026-08-27 08:27:00,Akasa Air,QP6723,Economy Flex,30,7090.72,1421.78,151.19,8663.69,INR,available
2026-08-29 10:32:00,goibibo,BLR,DEL,2026-09-28 10:32:00,SpiceJet,SG5338,Economy Flex,30,5379.09,826.93,219.62,6425.64,INR,available
2026-08-29 15:24:00,air_india,DEL,BLR,2026-09-05 15:24:00,Akasa Air,QP4608,Economy Flex,7,10178.83,2129.93,411.41,12720.17,INR,available
2026-07-27 00:01:00,indigo,CCU,DEL,2026-08-11 00:01:00,Air India Express,IX9117,Economy Flex,15,5252.37,981.91,166.03,6400.31,INR,available
2026-07-11 07:22:00,makemytrip,BLR,HYD,2026-07-18 07:22:00,IndiGo,6E3042,Economy,7,4768.15,760.7,259.53,5788.38,INR,available
2026-08-22 21:26:00,air_india,DEL,BOM,2026-10-06 21:26:00,IndiGo,6E9134,Economy,45,4996.8,1066.14,338.93,6401.88,INR,available
2026-08-10 16:02:00,cleartrip,CCU,DEL,2026-09-24 16:02:00,Air India,AI9483,Economy Flex,45,6329.68,1250.4,393.34,,INR,available
2026-08-30 16:23:00,goibibo,HYD,DEL,2026-09-29 16:23:00,Air India,AI2901,Economy Flex,30,5499.15,1048.41,333.14,6880.7,INR,available
2026-07-15 11:55:00,makemytrip,CCU,DEL,2026-08-14 11:55:00,SpiceJet,SG1639,Economy Flex,30,4863.21,791.27,223.34,5877.81,INR,sold_out
2026-07-14 10:30:00,cleartrip,CCU,DEL,2026-07-15 10:30:00,Air India,AI2169,Economy Flex,1,12520.43,2395.2,449.44,15365.07,INR,available
2026-07-01 00:42:00,ixigo,DEL,CCU,2026-08-15 00:42:00,SpiceJet,SG2512,Economy Flex,45,6076.57,1253.79,317.68,7648.04,INR,available
2026-07-31 18:30:00,makemytrip,MAA,DEL,2026-08-01 18:30:00,SpiceJet,SG8791,Economy Flex,1,12673.46,2047.04,345.74,15066.25,INR,available
2026-08-09 01:24:00,easemytrip,BLR,HYD,2026-09-23 01:24:00,Akasa Air,QP5031,Economy,45,,587.75,228.8,3709.07,INR,available
2026-07-28 22:43:00,makemytrip,BOM,DEL,2026-07-29 22:43:00,Akasa Air,QP3275,Economy Flex,1,10381.93,1963.06,249.36,12594.36,INR,available
2026-08-11 15:21:00,air_india,DEL,BOM,2026-08-12 15:21:00,Air India Express,IX3536,Economy,1,8287.8,1808.54,216.62,10312.95,INR,available
2026-07-27 20:03:00,indigo,DEL,BOM,2026-08-11 20:03:00,Air India Express,IX7617,Economy,15,6183.53,966.44,202.96,7352.93,INR,available
2026-08-20 21:21:00,easemytrip,DEL,CCU,2026-09-04 21:21:00,IndiGo,6E848,Economy,15,4941.9,846.08,326.98,6114.97,INR,available
2026-07-06 22:31:00,easemytrip,DEL,BOM,2026-08-05 22:31:00,Air India Express,IX9042,Economy Flex,30,6012.73,918.47,174.55,7105.74,INR,available
2026-07-29 14:01:00,air_india,DEL,CCU,2026-08-28 14:01:00,Air India Express,IX2067,Economy,30,5509.24,883.48,420.2,6812.92,INR,available
2026-08-14 14:18:00,indigo,BOM,DEL,2026-08-21 14:18:00,IndiGo,6E7695,Economy Flex,7,8575.11,1828.95,165.61,10569.66,INR,available
2026-08-16 20:20:00,ixigo,BOM,DEL,2026-08-31 20:20:00,Air India Express,IX4043,Economy Flex,15,6559.76,1006.92,207.48,7774.17,INR,available
2026-08-05 15:12:00,makemytrip,BOM,BLR,2026-08-20 15:12:00,Air India,AI5810,Economy,15,4832.07,741.84,165.83,5739.74,INR,available
2026-07-28 21:49:00,cleartrip,BLR,HYD,2026-09-11 21:49:00,SpiceJet,SG9322,Economy,45,2812.5,485.84,305.11,3603.45,INR,available
2026-07-13 04:22:00,goibibo,BOM,DEL,2026-07-14 04:22:00,SpiceJet,SG8471,Economy,1,7924.67,1461.04,264.22,9649.92,INR,available
2026-07-08 11:55:00,ixigo,MAA,DEL,2026-08-07 11:55:00,Air India,AI1741,Economy Flex,30,7630.37,1626.22,211.04,9467.63,INR,available
2026-08-13 18:50:00,ixigo,DEL,CCU,2026-09-12 18:50:00,Akasa Air,QP5928,Economy,30,5331.45,836.06,273.16,6440.67,INR,available
2026-07-27 04:01:00,goibibo,BLR,HYD,2026-08-11 04:01:00,Akasa Air,QP2155,Economy,15,3528.82,713.79,350.73,4593.34,INR,available
2026-08-03 19:44:00,indigo,DEL,BLR,2026-08-10 19:44:00,Air India Express,IX2388,Economy Flex,7,7437.17,1574.33,276.36,9287.85,INR,available
2026-07-26 04:41:00,air_india,DEL,CCU,2026-08-25 04:41:00,Akasa Air,QP9299,Economy,30,5392.6,1170.13,347.21,12260.18861488083,INR,available
2026-08-22 19:35:00,ixigo,HYD,DEL,2026-08-29 19:35:00,SpiceJet,SG4225,Economy,7,6447.84,1253.36,378.27,8079.47,INR,available
2026-08-19 11:08:00,ixigo,DEL,BLR,2026-10-03 11:08:00,Air India Express,IX5786,Economy,45,5977.24,1124.8,284.38,7386.41,INR,available
2026-08-26 20:03:00,easemytrip,BLR,DEL,2026-09-25 20:03:00,SpiceJet,SG6215,Economy,30,4779.48,1029.61,388.98,6198.06,INR,available
2026-07-14 17:00:00,makemytrip,CCU,DEL,2026-08-28 17:00:00,Air India Express,IX9677,Economy Flex,45,5723.98,1181.08,361.89,7266.95,INR,available
2026-08-13 16:46:00,easemytrip,DEL,CCU,2026-08-28 16:46:00,SpiceJet,SG5548,Economy,15,5823.03,1231.88,182.26,7237.16,INR,available
2026-08-20 11:51:00,goibibo,BLR,DEL,2026-08-21 11:51:00,IndiGo,6E7072,Economy Flex,1,10426.52,2078.06,233.88,12738.46,INR,available
2026-07-24 02:58:00,air_india,DEL,CCU,2026-08-23 02:58:00,SpiceJet,SG7931,Economy Flex,30,7132.96,1236.04,327.8,8696.79,INR,available
2026-08-17 21:48:00,easemytrip,MAA,DEL,2026-09-16 21:48:00,IndiGo,6E3818,Economy Flex,30,7358.68,1324.96,262.88,8946.51,INR,available
2026-08-04 02:32:00,air_india,BOM,BLR,2026-08-19 02:32:00,SpiceJet,SG8229,Economy Flex,15,6142.88,993.06,164.67,7300.61,INR,available
2026-07-16 09:02:00,ixigo,HYD,DEL,2026-08-30 09:02:00,Air India Express,IX6224,Economy Flex,45,5960.76,1233.38,191.46,7385.6,INR,available
2026-07-01 10:23:00,makemytrip,DEL,BOM,2026-08-15 10:23:00,Akasa Air,QP9865,Economy,45,5025.98,1054.74,296.59,6377.31,INR,available
2026-08-16 02:33:00,goibibo,BLR,DEL,2026-08-31 02:33:00,SpiceJet,SG9851,Economy Flex,15,7144.39,1168.2,276.74,8589.33,INR,available
2026-08-29 13:03:00,ixigo,BLR,HYD,2026-09-13 13:03:00,Akasa Air,QP5332,Economy Flex,15,3964.01,834.79,447.26,5246.05,INR,available
2026-07-10 06:52:00,indigo,BLR,HYD,2026-07-11 06:52:00,Air India,AI8616,Economy Flex,1,6847.3,1333.23,428.21,8608.74,INR,available
2026-07-07 18:57:00,makemytrip,DEL,BLR,2026-08-06 18:57:00,Air India,AI4482,Economy,30,5699.16,885.67,306.3,6891.12,INR,available
2026-07-22 01:00:00,cleartrip,DEL,BOM,2026-09-05 01:00:00,SpiceJet,SG6023,Economy Flex,45,5716.35,965.51,242.77,6924.63,INR,available
2026-08-16 16:35:00,ixigo,CCU,DEL,2026-08-23 16:35:00,SpiceJet,SG7136,Economy,7,8023.71,1315.09,252.38,9591.18,INR,available
2026-07-04 14:56:00,goibibo,DEL,BOM,2026-07-05 14:56:00,Air India Express,IX9777,Economy Flex,1,9856.38,2066.28,183.23,12105.89,INR,available
2026-08-31 08:18:00,makemytrip,BLR,HYD,2026-09-01 08:18:00,Akasa Air,QP6809,Economy Flex,1,5338.9,873.8,311.79,6524.49,INR,available
2026-07-15 02:05:00,makemytrip,BOM,DEL,2026-07-22 02:05:00,Air India Express,IX2692,Economy,7,6524.45,1388.72,344.43,8257.6,INR,available
2026-08-27 15:42:00,ixigo,BOM,DEL,2026-09-11 15:42:00,Air India,AI8495,Economy,15,6659.41,1238.29,326.97,8224.67,INR,available
2026-08-18 07:26:00,goibibo,CCU,DEL,2026-08-19 07:26:00,Air India,AI5040,Economy,1,10550.31,2180.55,257.03,12987.89,INR,available
2026-07-26 14:20:00,ixigo,CCU,DEL,2026-08-10 14:20:00,IndiGo,6E2660,Economy,15,5970.13,1058.4,296.57,7325.1,INR,available
2026-07-02 05:43:00,indigo,DEL,CCU,2026-07-03 05:43:00,Air India Express,IX5487,Economy Flex,1,10303.95,1814.15,168.27,12286.37,INR,available
2026-07-24 20:04:00,goibibo,DEL,BOM,2026-09-07 20:04:00,Akasa Air,QP1880,Economy Flex,45,5066.78,837.18,153.18,6057.15,INR,available
2026-07-16 12:20:00,cleartrip,DEL,BLR,2026-08-30 12:20:00,SpiceJet,SG7120,Economy Flex,45,6308.72,1068.21,210.65,7587.58,INR,available
2026-08-08 17:43:00,cleartrip,BLR,HYD,2026-08-23 17:43:00,IndiGo,6E4137,Economy,15,4342.09,808.17,253.79,5404.05,INR,available
2026-07-01 21:36:00,indigo,DEL,CCU,2026-07-16 21:36:00,Akasa Air,QP3746,Economy Flex,15,7134.79,1339.41,417.8,8892.01,INR,available
2026-07-25 18:22:00,goibibo,DEL,CCU,2026-08-09 18:22:00,SpiceJet,SG9629,Economy,15,6918.7,1263.25,340.61,8522.56,INR,available
2026-07-28 16:02:00,indigo,CCU,DEL,2026-09-11 16:02:00,Akasa Air,QP5398,Economy Flex,45,6470.72,1243.0,438.26,8151.97,INR,available
2026-07-24 17:04:00,air_india,CCU,DEL,2026-07-25 17:04:00,IndiGo,6E4236,Economy,1,11323.64,2189.07,402.25,13914.95,INR,available
2026-07-25 08:01:00,air_india,BOM,BLR,2026-09-08 08:01:00,IndiGo,6E7516,Economy Flex,45,5159.15,873.06,385.64,6417.85,INR,available
2026-08-30 09:38:00,ixigo,DEL,BOM,2026-10-14 09:38:00,SpiceJet,SG8152,Economy,45,4735.74,826.88,262.77,5825.39,INR,sold_out
2026-07-02 02:05:00,easemytrip,DEL,BLR,2026-07-17 02:05:00,Air India Express,IX4150,Economy,15,6687.09,1105.47,411.39,8203.95,INR,available
2026-07-12 14:03:00,ixigo,BLR,DEL,2026-07-13 14:03:00,Air India,AI411,Economy Flex,1,13722.32,2654.21,399.78,16776.31,INR,available
2026-07-17 16:51:00,cleartrip,DEL,BOM,2026-08-16 16:51:00,Akasa Air,QP8272,Economy,30,4747.53,812.74,419.16,5979.43,INR,available
2026-07-03 15:35:00,indigo,BOM,DEL,2026-07-04 15:35:00,IndiGo,6E2093,Economy Flex,1,12377.1,2173.98,185.22,14736.29,INR,available
2026-09-03 22:33:00,air_india,MAA,DEL,2026-10-18 22:33:00,Air India Express,IX8413,Economy,45,6367.33,1055.46,348.22,7771.01,INR,available
2026-08-20 18:52:00,makemytrip,MAA,DEL,2026-08-21 18:52:00,Air India,AI3211,Economy,1,11260.71,2211.58,302.61,13774.9,INR,available
2026-07-20 09:27:00,easemytrip,CCU,DEL,2026-08-04 09:27:00,Akasa Air,QP130,Economy Flex,15,7153.98,1400.06,354.81,13045.296788129208,INR,available
2026-08-04 08:12:00,ixigo,BOM,DEL,2026-08-05 08:12:00,Air India,AI3899,Economy,1,10057.39,1854.39,160.34,12072.13,INR,available
2026-07-23 07:45:00,ixigo,MAA,DEL,2026-07-24 07:45:00,Air India Express,IX6071,Economy,1,11053.13,1730.24,346.72,13130.09,INR,available
2026-08-10 01:08:00,cleartrip,CCU,DEL,2026-08-11 01:08:00,Air India,AI742,Economy,1,8681.24,1587.26,292.61,10561.11,INR,available
2026-08-07 09:53:00,cleartrip,BLR,HYD,2026-09-06 09:53:00,Air India,AI4370,Economy Flex,30,4714.81,896.67,449.48,6060.96,INR,available
2026-07-04 05:43:00,ixigo,DEL,BLR,2026-07-05 05:43:00,Air India Express,IX714,Economy,1,11928.25,2583.31,390.46,14902.02,INR,sold_out
2026-08-27 20:53:00,cleartrip,MAA,DEL,2026-08-28 20:53:00,Air India Express,IX4851,Economy Flex,1,12181.67,2485.1,421.09,15087.85,INR,available
2026-08-16 17:01:00,cleartrip,MAA,DEL,2026-08-31 17:01:00,Air India,AI1447,Economy,15,8166.55,1569.14,295.54,10031.23,INR,available
2026-08-06 02:54:00,cleartrip,BOM,DEL,2026-09-20 02:54:00,Akasa Air,QP4403,Economy,45,5324.18,1041.74,152.11,6518.04,INR,available
2026-07-03 14:17:00,easemytrip,BOM,DEL,2026-08-17 14:17:00,Akasa Air,QP6411,Economy,45,4881.06,926.82,343.87,6151.75,INR,available
2026-08-21 10:16:00,makemytrip,CCU,DEL,2026-08-28 10:16:00,Air India Express,IX5495,Economy,7,8249.83,1535.9,406.4,10192.13,INR,available
2026-07-05 02:33:00,air_india,CCU,DEL,2026-07-20 02:33:00,Air India Express,IX1436,Economy,15,5448.98,941.04,284.84,6674.86,INR,available
2026-07-14 08:17:00,indigo,DEL,BOM,2026-08-13 08:17:00,SpiceJet,SG2287,Economy,30,4629.54,694.57,365.14,5689.26,INR,available
2026-08-10 11:07:00,cleartrip,BOM,BLR,2026-08-17 11:07:00,SpiceJet,SG7089,Economy Flex,7,6627.97,1279.49,294.73,8202.19,INR,available
2026-07-13 23:22:00,easemytrip,DEL,BLR,2026-08-27 23:22:00,Air India Express,IX9343,Economy Flex,45,5582.73,900.31,324.6,6807.64,INR,available
2026-07-27 10:47:00,makemytrip,DEL,BLR,2026-08-03 10:47:00,SpiceJet,SG2680,Economy,7,8304.74,1510.58,275.07,10090.39,INR,available
2026-08-14 10:26:00,air_india,DEL,CCU,2026-08-21 10:26:00,IndiGo,6E9666,Economy Flex,7,7924.3,1723.23,415.39,10062.91,INR,available
2026-07-24 12:31:00,makemytrip,BOM,BLR,2026-09-07 12:31:00,Air India Express,IX1200,Economy Flex,45,5026.8,904.67,441.31,6372.78,INR,available
2026-08-17 10:58:00,air_india,DEL,CCU,2026-08-18 10:58:00,Air India Express,IX9113,Economy Flex,1,10611.57,2088.82,297.86,12998.25,INR,sold_out
2026-08-18 02:16:00,indigo,DEL,CCU,2026-09-17 02:16:00,Akasa Air,QP3288,Economy Flex,30,4990.69,764.07,395.57,6150.33,INR,available
2026-07-30 09:19:00,makemytrip,BLR,DEL,2026-09-13 09:19:00,Akasa Air,QP826,Economy Flex,45,6773.49,1211.7,293.57,8278.76,INR,available
2026-07-09 18:29:00,indigo,MAA,DEL,2026-07-16 18:29:00,SpiceJet,SG6676,Economy,7,7906.52,1268.3,379.2,9554.02,INR,available
2026-08-25 07:15:00,makemytrip,BOM,BLR,2026-09-24 07:15:00,Air India Express,IX230,Economy,30,4061.53,719.87,428.19,5209.59,INR,available
2026-07-02 07:02:00,easemytrip,BOM,BLR,2026-08-16 07:02:00,SpiceJet,SG4045,Economy,45,4980.34,1088.92,414.8,6484.05,INR,available
2026-07-16 18:34:00,makemytrip,HYD,DEL,2026-08-15 18:34:00,Air India,AI5980,Economy Flex,30,6051.67,1310.41,330.2,7692.28,INR,available
2026-07-06 13:28:00,easemytrip,BLR,HYD,2026-07-21 13:28:00,Air India Express,IX1968,Economy,15,3553.9,642.67,281.17,4477.74,INR,available
2026-07-03 10:26:00,cleartrip,CCU,DEL,2026-08-02 10:26:00,IndiGo,6E1193,Economy Flex,30,6944.39,1445.72,381.41,8771.52,INR,available
2026-07-19 18:22:00,cleartrip,DEL,CCU,2026-07-26 18:22:00,Akasa Air,QP273,Economy,7,7646.96,1194.84,283.69,9125.49,INR,available
2026-07-23 10:33:00,goibibo,DEL,CCU,2026-08-07 10:33:00,Akasa Air,QP9900,Economy,15,5670.63,1125.91,164.78,6961.32,INR,available
2026-08-22 10:18:00,cleartrip,BOM,BLR,2026-08-23 10:18:00,Air India,AI6200,Economy Flex,1,12368.36,2442.82,221.95,15033.13,INR,available
2026-07-20 05:05:00,easemytrip,BLR,HYD,2026-09-03 05:05:00,IndiGo,6E495,Economy,45,3565.94,749.87,196.41,4512.22,INR,available
2026-07-17 09:20:00,ixigo,BOM,BLR,2026-08-16 09:20:00,Air India Express,IX4600,Economy,30,4508.68,681.04,406.74,5596.46,INR,available
2026-08-14 10:57:00,ixigo,BLR,HYD,2026-09-28 10:57:00,SpiceJet,SG8780,Economy Flex,45,3589.9,562.13,269.1,4421.14,INR,available
2026-08-23 12:34:00,air_india,BOM,BLR,2026-08-24 12:34:00,Air India,AI3880,Economy,1,7851.8,1503.07,282.09,9636.97,INR,sold_out
2026-08-22 16:31:00,cleartrip,BLR,DEL,2026-10-06 16:31:00,Akasa Air,QP4698,Economy,45,5458.19,1056.57,244.52,6759.28,INR,available
2026-07-27 22:49:00,indigo,MAA,DEL,2026-08-11 22:49:00,Akasa Air,QP9080,Economy,15,7102.58,1311.14,406.06,8819.79,INR,available
2026-08-28 11:33:00,cleartrip,BOM,DEL,2026-09-27 11:33:00,Air India Express,IX3485,Economy Flex,30,6143.49,1071.65,222.68,7437.82,INR,available
2026-07-04 22:03:00,indigo,BOM,BLR,2026-07-11 22:03:00,IndiGo,6E1717,Economy Flex,7,7516.28,1438.2,348.3,9302.78,INR,available
2026-08-08 22:00:00,easemytrip,DEL,CCU,2026-08-09 22:00:00,Air India,AI3722,Economy Flex,1,13818.23,2348.31,317.96,16484.49,INR,available
2026-07-19 14:12:00,ixigo,BLR,DEL,2026-08-18 14:12:00,IndiGo,6E4444,Economy,30,5633.28,964.23,304.19,-6901.7,INR,available
2026-08-23 19:30:00,indigo,BOM,BLR,2026-08-30 19:30:00,Akasa Air,QP4325,Economy,7,7009.7,1119.63,199.65,8328.98,INR,available
2026-07-20 23:01:00,makemytrip,DEL,BOM,2026-08-19 23:01:00,Akasa Air,QP8961,Economy Flex,30,5889.03,960.71,236.75,7086.49,INR,available
2026-07-04 16:16:00,easemytrip,BLR,DEL,2026-08-03 16:16:00,Air India,AI2997,Economy Flex,30,7852.38,1293.93,247.56,9393.88,INR,available
2026-07-07 11:17:00,ixigo,HYD,DEL,2026-08-21 11:17:00,IndiGo,6E5798,Economy,45,3405.52,515.57,447.45,4368.54,INR,available
2026-08-21 01:54:00,makemytrip,BOM,BLR,2026-09-20 01:54:00,IndiGo,6E3853,Economy,30,5722.5,911.82,247.75,6882.07,INR,available
2026-08-08 13:15:00,air_india,BOM,BLR,2026-08-09 13:15:00,Air India Express,IX6767,Economy Flex,1,10439.83,2010.98,306.55,12757.37,INR,available
2026-08-25 02:45:00,easemytrip,BOM,BLR,2026-09-01 02:45:00,Air India,AI1180,Economy,7,7262.57,1167.67,309.84,8740.09,INR,available
2026-08-11 05:59:00,indigo,DEL,CCU,2026-09-25 05:59:00,Akasa Air,QP3131,Economy Flex,45,6158.12,984.74,363.12,7505.98,INR,available
2026-08-19 07:44:00,easemytrip,HYD,DEL,2026-08-26 07:44:00,Air India Express,IX2179,Economy,7,5696.4,1148.08,342.53,7187.0,INR,available
2026-08-30 09:10:00,makemytrip,DEL,BOM,2026-10-14 09:10:00,Akasa Air,QP8856,Economy,45,5278.22,859.31,225.77,6363.3,INR,available
2026-08-08 10:33:00,air_india,BOM,BLR,2026-08-09 10:33:00,SpiceJet,SG898,Economy Flex,1,10417.7,2163.21,153.75,19646.95569028112,INR,available
2026-07-21 22:56:00,easemytrip,BOM,BLR,2026-07-22 22:56:00,Akasa Air,QP6465,Economy,1,7585.31,1241.73,264.94,9091.98,INR,available
2026-08-28 05:24:00,makemytrip,MAA,DEL,2026-09-12 05:24:00,SpiceJet,SG8549,Economy,15,6522.67,992.13,325.42,7840.22,INR,available
2026-07-29 00:59:00,air_india,DEL,BLR,2026-08-13 00:59:00,IndiGo,6E6325,Economy,15,6556.32,1393.83,221.95,8172.1,INR,available
2026-08-12 00:19:00,cleartrip,DEL,BLR,2026-09-11 00:19:00,SpiceJet,SG4521,Economy Flex,30,5994.61,1076.21,189.41,7260.22,INR,available
2026-08-06 15:34:00,makemytrip,BLR,HYD,2026-08-21 15:34:00,IndiGo,6E8159,Economy,15,3906.88,847.62,371.25,5125.75,INR,sold_out
2026-08-17 04:18:00,makemytrip,HYD,DEL,2026-09-16 04:18:00,IndiGo,6E3721,Economy,30,4765.04,787.88,351.78,5904.71,INR,available
2026-07-05 06:16:00,makemytrip,MAA,DEL,2026-08-04 06:16:00,Air India Express,IX4739,Economy Flex,30,6716.28,1276.65,204.6,8197.53,INR,available
2026-08-15 18:47:00,makemytrip,BOM,BLR,2026-08-16 18:47:00,SpiceJet,SG6405,Economy Flex,1,10360.21,1787.52,420.26,12567.99,INR,available
2026-08-25 00:25:00,air_india,DEL,CCU,2026-09-01 00:25:00,Akasa Air,QP4477,Economy,7,6868.39,1310.87,409.17,8588.43,INR,sold_out
2026-08-23 05:04:00,easemytrip,BOM,BLR,2026-09-07 05:04:00,Air India Express,IX6595,Economy,15,4800.98,965.6,350.94,6117.52,INR,available
2026-07-22 21:13:00,cleartrip,MAA,DEL,2026-08-06 21:13:00,Akasa Air,QP3934,Economy Flex,15,6602.6,1041.9,253.3,7897.8,INR,available
2026-07-12 20:04:00,ixigo,HYD,DEL,2026-08-26 20:04:00,Air India Express,IX5853,Economy,45,4375.39,867.36,268.42,5511.16,INR,available
2026-08-20 08:49:00,makemytrip,MAA,DEL,2026-08-21 08:49:00,Akasa Air,QP7744,Economy Flex,1,11356.15,2195.92,414.64,13966.71,INR,available
2026-08-29 11:49:00,goibibo,MAA,DEL,2026-09-13 11:49:00,Akasa Air,QP8202,Economy Flex,15,9001.14,1686.21,271.69,10959.04,INR,available
2026-07-13 04:20:00,goibibo,DEL,CCU,2026-08-27 04:20:00,Akasa Air,QP3562,Economy Flex,45,5990.23,965.21,343.42,7298.86,INR,available
2026-08-13 16:01:00,indigo,DEL,BLR,2026-09-12 16:01:00,SpiceJet,SG5664,Economy,30,5740.55,913.44,162.35,6816.34,INR,available
2026-08-29 19:12:00,easemytrip,BOM,DEL,2026-09-13 19:12:00,Air India Express,IX9608,Economy,15,6444.19,1383.08,409.06,8236.33,INR,available
2026-07-31 15:50:00,indigo,BOM,BLR,2026-08-15 15:50:00,Akasa Air,QP6615,Economy,15,6289.68,1360.94,152.94,7803.56,INR,available
2026-08-28 11:28:00,air_india,HYD,DEL,2026-10-12 11:28:00,SpiceJet,SG6421,Economy,45,3964.81,643.32,179.03,,INR,available
2026-08-15 03:52:00,makemytrip,DEL,BLR,2026-08-22 03:52:00,IndiGo,6E6490,Economy Flex,7,9944.91,1715.44,210.76,11871.11,INR,available
2026-07-09 05:23:00,goibibo,BLR,HYD,2026-07-16 05:23:00,SpiceJet,SG8042,Economy Flex,7,4664.81,872.08,355.87,5892.76,INR,available
2026-07-07 15:00:00,makemytrip,CCU,DEL,2026-07-08 15:00:00,Air India,AI6879,Economy,1,10097.87,2116.07,408.95,12622.89,INR,available
2026-08-02 06:09:00,ixigo,BLR,DEL,2026-08-17 06:09:00,IndiGo,6E8232,Economy Flex,15,7996.56,1533.85,266.19,9796.59,INR,available
2026-08-17 09:12:00,cleartrip,BLR,HYD,2026-10-01 09:12:00,Akasa Air,QP3883,Economy Flex,45,3411.66,526.35,394.95,4332.95,INR,available
2026-07-03 15:20:00,indigo,BOM,BLR,2026-07-04 15:20:00,SpiceJet,SG5084,Economy,1,7571.61,1540.5,437.05,9549.16,INR,available
2026-08-11 12:41:00,cleartrip,BLR,HYD,2026-08-12 12:41:00,IndiGo,6E770,Economy Flex,1,8149.52,1289.43,361.54,9800.49,INR,available
2026-09-01 23:22:00,ixigo,DEL,BOM,2026-09-16 23:22:00,Akasa Air,QP6671,Economy,15,5802.95,1072.69,221.94,7097.58,INR,available
2026-08-01 02:10:00,goibibo,DEL,BOM,2026-08-02 02:10:00,Akasa Air,QP1402,Economy,1,10049.97,1592.76,346.06,11988.8,INR,available
2026-07-15 19:28:00,easemytrip,BLR,HYD,2026-07-30 19:28:00,IndiGo,6E6834,Economy,15,3484.48,657.96,233.31,4375.75,INR,available
2026-07-15 01:41:00,cleartrip,MAA,DEL,2026-07-16 01:41:00,SpiceJet,SG6052,Economy,1,9389.62,1706.37,277.87,11373.86,INR,available
2026-07-18 20:15:00,goibibo,CCU,DEL,2026-08-17 20:15:00,SpiceJet,SG1737,Economy,30,5463.91,966.54,207.23,6637.67,INR,available
2026-08-29 07:46:00,cleartrip,BLR,HYD,2026-10-13 07:46:00,Air India,AI5436,Economy,45,3527.93,548.96,327.89,4404.78,INR,sold_out
2026-08-02 21:41:00,easemytrip,BLR,DEL,2026-08-09 21:41:00,IndiGo,6E1421,Economy Flex,7,10383.94,1757.73,155.29,12296.96,INR,available
2026-08-05 10:46:00,cleartrip,BLR,HYD,2026-09-19 10:46:00,SpiceJet,SG8981,Economy,45,3198.47,687.77,207.31,4093.56,INR,available
2026-08-10 19:55:00,easemytrip,BOM,DEL,2026-09-24 19:55:00,IndiGo,6E8424,Economy,45,4642.86,871.83,382.26,5896.95,INR,available
